"in", 1, 2, 3, 4
0.3, 1, 0, 0, 0
0.301, 1, 0, 0, 0
0.305, 1, 0, 0, 0
0.303, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.316, 1, 0, 0, 0
0.312, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.308, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.312, 1, 0, 0, 0
0.307, 1, 0, 0, 0
0.312, 1, 0, 0, 0
0.31, 1, 0, 0, 0
0.31, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.31, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.308, 1, 0, 0, 0
0.308, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.311, 1, 0, 0, 0
0.307, 1, 0, 0, 0
0.312, 1, 0, 0, 0
0.246, 0, 0, 0, 0
0.241, 0, 0, 0, 0
0.242, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.248, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.241, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.249, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.248, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.246, 0, 0, 0, 0
0.242, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.242, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.244, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.242, 0, 0, 0, 0
0.242, 0, 0, 0, 0
2.41, 0, 0, 0, 1
2.411, 0, 0, 0, 1
2.405, 0, 0, 0, 1
2.399, 0, 0, 0, 1
2.409, 0, 0, 0, 1
2.412, 0, 0, 0, 1
2.441, 0, 0, 0, 1
2.408, 0, 0, 0, 1
2.427, 0, 0, 0, 1
2.426, 0, 0, 0, 1
2.438, 0, 0, 0, 1
2.437, 0, 0, 0, 1
2.4, 0, 0, 0, 1
2.396, 0, 0, 0, 1
2.401, 0, 0, 0, 1
2.407, 0, 0, 0, 1
2.414, 0, 0, 0, 1
2.41, 0, 0, 0, 1
2.423, 0, 0, 0, 1
2.4, 0, 0, 0, 1
2.406, 0, 0, 0, 1
2.403, 0, 0, 0, 1
2.387, 0, 0, 0, 1
2.411, 0, 0, 0, 1
2.402, 0, 0, 0, 1
2.4, 0, 0, 0, 1
2.409, 0, 0, 0, 1
2.403, 0, 0, 0, 1
2.462, 1, 0, 0, 1
2.465, 1, 0, 0, 1
2.472, 1, 0, 0, 1
2.457, 1, 0, 0, 1
2.456, 1, 0, 0, 1
2.467, 1, 0, 0, 1
2.465, 1, 0, 0, 1
2.453, 1, 0, 0, 1
2.467, 1, 0, 0, 1
2.463, 1, 0, 0, 1
2.461, 1, 0, 0, 1
2.457, 1, 0, 0, 1
2.457, 1, 0, 0, 1
2.998, 1, 0, 1, 1
2.995, 1, 0, 1, 1
2.956, 1, 0, 1, 1
2.969, 1, 0, 1, 1
2.975, 1, 0, 1, 1
2.988, 1, 0, 1, 1
2.98, 1, 0, 1, 1
3.0, 1, 0, 1, 1
2.977, 1, 0, 1, 1
2.977, 1, 0, 1, 1
2.96, 1, 0, 1, 1
2.957, 1, 0, 1, 1
2.98, 1, 0, 1, 1
2.991, 1, 0, 1, 1
2.975, 1, 0, 1, 1
2.964, 1, 0, 1, 1
2.966, 1, 0, 1, 1
2.967, 1, 0, 1, 1
2.971, 1, 0, 1, 1
2.986, 1, 0, 1, 1
2.971, 1, 0, 1, 1
2.965, 1, 0, 1, 1
2.956, 1, 0, 1, 1
2.958, 1, 0, 1, 1
2.948, 1, 0, 1, 1
2.955, 1, 0, 1, 1
2.959, 1, 0, 1, 1
2.966, 1, 0, 1, 1
2.966, 1, 0, 1, 1
2.964, 1, 0, 1, 1
2.972, 1, 0, 1, 1
2.956, 1, 0, 1, 1
2.962, 1, 0, 1, 1
